Fecha,Ciudad,Nombre,Apellido,Género,Producto
2020-05-30,Bello,Trinidad,Amorós,Masculino,Premium
2020-05-30,Caldas,Amelia,Roma,Femenino,Waffle
2020-05-30,La Estrella,Alfredo,Roca,Masculino,Premium
2020-05-30,Itagui,Joel,Mendoza,Masculino,Bizcopizza
2020-05-30,La Estrella,Montserrat,Pacheco,Femenino,Variado
2020-05-30,Medellin,Catalina,Posada,Femenino,Mini gomas
2020-05-30,Bello,Ariel,Quesada,Femenino,Variado
2020-05-30,Envigado,Esmeralda,Hidalgo,Femenino,Fuerte
2020-05-30,Sabaneta,Dafne,García,Femenino,Bandeja fresas
2020-05-30,Medellin,Saturnina,Cazorla,Femenino,Liviano
2020-05-30,Bello,Íñigo,Mariscal,Masculino,Virtuosa
2020-05-30,Bello,Rosalía,González,Femenino,Bizcopizza
2020-05-30,Bello,Jaime,Díez,Masculino,Premium
2020-05-30,Caldas,Hortensia,Llabrés,Femenino,Completo
2020-05-30,Itagui,Florencia,Coello,Femenino,Sánduche
2020-05-30,Itagui,Danilo,Fuertes,Masculino,Bizcopizza
2020-05-30,Medellin,Dominga,Gual,Femenino,Completo
2020-05-30,Copacabana,Fulgencio,Roldan,Masculino,Fuerte
2020-05-30,Envigado,Miriam,Peralta,Femenino,Premium
2020-05-30,Copacabana,Almudena,Adadia,Femenino,Sánduche
2020-05-30,Envigado,Héctor,Rey,Masculino,Waffle
2020-05-30,Envigado,Adelaida,Elías,Femenino,Premium
2020-05-30,Sabaneta,Aránzazu,Iglesias,Femenino,Variado
2020-05-30,Medellin,Sonia,Cabanillas,Femenino,Variado
2020-05-30,Medellin,Sigfrido,Recio,Masculino,Bizcopizza
2020-05-30,Medellin,Adelina,Camps,Femenino,Super Box
2020-05-30,Medellin,Gloria,Calatayud,Femenino,Waffle
2020-05-30,San Antonio de Prado,José Mari,Ribas,Masculino,Virtuosa
2020-05-30,Medellin,Pastora,Nuñez,Femenino,V gomas
2020-05-30,Medellin,Natividad,Cerdá,Femenino,Sánduche
2020-05-30,Sabaneta,Balduino,Almazán,Masculino,Sánduche
2020-05-30,Medellin,Ruth,Arnaiz,Femenino,Sánduche
2020-05-30,Bello,Socorro,Pallarès,Femenino,Variado
2020-05-30,Medellin,Trinidad,Cabezas,Femenino,Premium
2020-05-30,Medellin,Felicidad,Zabaleta,Femenino,Variado
2020-05-30,Medellin,Oriana,Vendrell,Femenino,Completo
2020-05-30,Itagui,Renata,Mercader,Femenino,Kit de emergencia
2020-05-30,Bello,Ruy,Mayo,Masculino,Sánduche
2020-05-30,Medellin,Chelo,Coll,Femenino,Fuerte
2020-05-30,San Antonio de Prado,Francisco,Baena,Masculino,Variado
2020-05-30,Envigado,Flora,Mármol,Femenino,Completo
2020-05-30,Sabaneta,Evelia,Vilanova,Femenino,Premium
2020-05-30,Itagui,Consuelo,Flores,Femenino,Choco box
2020-05-30,San Antonio de Prado,Duilio,Fortuny,Masculino,Sánduche
2020-05-30,Medellin,Jenaro,Bou,Masculino,Sánduche
2020-05-30,Bello,Arturo,Tejedor,Masculino,V fresas
2020-05-30,San Antonio de Prado,Nicanor,Salvador,Masculino,Bizcopizza
2020-05-30,Envigado,Jose Francisco,Hernando,Masculino,Cupcakes
2020-05-30,Medellin,Ani,Acosta,Femenino,Virtuosa
2020-05-30,Medellin,Malena,Girona,Femenino,Completo
2020-05-30,Itagui,Maura,Hurtado,Femenino,Variado
2020-05-30,Medellin,Encarnacion,Olmo,Femenino,Sánduche
2020-05-30,Medellin,Dulce,Arellano,Femenino,Fuerte
2020-05-30,Sabaneta,Alicia,Montserrat,Femenino,Premium
2020-05-30,La Estrella,Gastón,Tovar,Masculino,Variado
2020-05-30,Medellin,Bernabé,Barba,Masculino,Sánduche
2020-05-30,Sabaneta,Viviana,Pedrosa,Femenino,Virtuosa
2020-05-30,San Antonio de Prado,Félix,Viña,Masculino,Premium
2020-05-30,Sabaneta,Jose Angel,Ramirez,Masculino,Sánduche
2020-05-30,Envigado,María Manuela,Córdoba,Femenino,Completo
2020-05-30,Medellin,Asunción,Piñol,Femenino,Fuerte
2020-05-30,Itagui,Amada,Tapia,Femenino,Sánduche
2020-05-30,Bello,Blanca,Santamaria,Femenino,Bandeja frutas
2020-05-30,Itagui,Angelina,Gordillo,Femenino,Bizcopizza
2020-05-30,Medellin,Agustina,Puga,Femenino,Fuerte
2020-05-30,Medellin,Herminia,Macias,Femenino,Completo
2020-05-30,Bello,Reinaldo,Salom,Masculino,Variado
2020-05-30,Copacabana,Belén,Castañeda,Femenino,Virtuosa
2020-05-30,Caldas,Leocadio,Castro,Masculino,Sánduche
2020-05-30,Sabaneta,Joaquín,Cazorla,Masculino,Bizcopizza
2020-05-30,Itagui,Reyes,Benito,Masculino,Sánduche
2020-06-29,Medellin,Marisol,Querol,Femenino,Variado
2020-06-29,Caldas,Nilda,Córdoba,Femenino,Super Box
2020-06-29,Sabaneta,Alejandra,Julián,Femenino,Tradicional
2020-06-29,Copacabana,Benigna,Baena,Femenino,Completo
2020-06-29,Bello,Soledad,Bartolomé,Femenino,Waffle
2020-06-29,Envigado,Sol,Acosta,Femenino,Waffle
2020-06-29,Medellin,Ariadna,Ruiz,Femenino,Completo
2020-06-29,Caldas,Baltasar,Ayllón,Masculino,Super Box
2020-06-29,San Antonio de Prado,Xiomara,Salmerón,Femenino,Premium
2020-06-29,Caldas,Alejandra,Arco,Femenino,Variado
2020-06-29,Sabaneta,Manolo,Torre,Masculino,Completo
2020-06-29,La Estrella,Emelina,Arias,Femenino,Variado
2020-06-29,Copacabana,Rosalinda,Beltran,Femenino,Variado
2020-06-29,La Estrella,Elena,Nevado,Femenino,Variado
2020-06-29,Sabaneta,Sofía,Jódar,Femenino,Waffle
2020-06-29,San Antonio de Prado,Noa,Feliu,Femenino,Virtuosa
2020-06-29,Itagui,Carla,Carranza,Femenino,Fuerte
2020-06-29,San Antonio de Prado,María Pilar,Roura,Femenino,Premium
2020-06-29,Medellin,Che,Agustín,Masculino,Bizcopizza
2020-06-29,Caldas,Noelia,Valentín,Femenino,Sánduche
2020-06-29,Sabaneta,Camila,Pont,Femenino,Completo
2020-06-29,La Estrella,Dani,Manzanares,Masculino,Sánduche
2020-06-29,La Estrella,Mohamed,Cantero,Masculino,Premium
2020-06-29,Bello,Cecilio,Ferrer,Masculino,Mini gomas
2020-06-29,Itagui,Alexandra,Expósito,Femenino,Liviano
2020-06-29,Medellin,Sebastián,Sola,Masculino,Virtuosa
2020-06-29,Sabaneta,Angélica,Cabo,Femenino,Completo
2020-06-29,Itagui,Roxana,Rodríguez,Femenino,Premium
2020-06-29,Envigado,Salomón,Benitez,Masculino,Liviano
2020-06-29,Itagui,Alexandra,Mate,Femenino,Virtuosa
2020-06-29,La Estrella,Lidia,Carmona,Femenino,Sánduche
2020-06-29,Medellin,María Carmen,Gordillo,Femenino,Bizcopizza
2020-06-29,Bello,Rosalinda,Tudela,Femenino,Variado
2020-06-29,Bello,Camilo,Arco,Masculino,Sánduche
2020-06-29,Medellin,Dimas,Puerta,Masculino,Fuerte
2020-06-29,Medellin,Sofía,Baena,Femenino,Waffle
2020-06-29,Copacabana,Prudencia,Sandoval,Femenino,Choco box
2020-06-29,Bello,Olimpia,Bru,Femenino,Bizcopizza
2020-06-29,Bello,Noa,Amat,Femenino,Waffle
2020-06-29,Medellin,Ileana,Juan,Femenino,Completo
2020-06-29,San Antonio de Prado,Rosalía,Cabello,Femenino,Virtuosa
2020-06-29,Sabaneta,Leonel,Tejera,Masculino,Variado
2020-06-29,Bello,Borja,Velasco,Masculino,Sánduche
2020-06-29,La Estrella,Anselmo,Tudela,Masculino,Waffle
2020-06-29,Medellin,Leonor,Gonzalez,Femenino,Variado
2020-06-29,Copacabana,Marcio,Arrieta,Masculino,Premium
2020-06-29,Envigado,Florina,Muñoz,Femenino,Sánduche
2020-06-29,Caldas,Juliana,Guzmán,Femenino,Waffle
2020-06-29,La Estrella,Apolinar,Alsina,Masculino,Waffle
2020-06-29,Envigado,Andrés Felipe,Báez,Masculino,Tradicional
2020-06-29,San Antonio de Prado,Luisa,Aznar,Femenino,V gomas
2020-06-29,Caldas,Abilio,Fiol,Masculino,Variado
2020-06-29,Medellin,Anna,Pina,Femenino,Sánduche
2020-06-29,La Estrella,Ainara,Roca,Femenino,Variado
2020-06-29,Bello,Marc,Escobar,Masculino,Sánduche
2020-06-29,Itagui,César,Ibarra,Masculino,Liviano
2020-06-29,Envigado,Florentino,Torrijos,Masculino,Premium
2020-06-29,Itagui,Ainara,Echeverría,Femenino,Variado
2020-06-29,San Antonio de Prado,Fabián,Hervia,Masculino,Fuerte
2020-06-29,Medellin,Macarena,Saldaña,Femenino,Sánduche
2020-06-29,Medellin,Felisa,Solé,Femenino,Completo
2020-06-29,Medellin,Ruben,Cordero,Masculino,Super Box
2020-06-29,Caldas,Eliseo,Segura,Masculino,Variado
2020-06-29,Medellin,Ramona,Montero,Femenino,Sánduche
2020-06-29,Caldas,Micaela,Elías,Femenino,Variado
2020-06-29,Medellin,Abril,Gutiérrez,Femenino,Sánduche
2020-06-29,Medellin,Alba,Carrera,Femenino,Variado
2020-06-29,Medellin,Mónica,Sebastián,Femenino,Premium
2020-06-29,Bello,Gustavo,Aller,Masculino,Variado
2020-06-29,Medellin,Herberto,Haro,Masculino,Sánduche
2020-06-29,Bello,Salomé,Moliner,Femenino,Bizcopizza
2020-06-29,Medellin,Juan Francisco,Niño,Masculino,Waffle
2020-06-29,Itagui,Gil,Buendía,Masculino,Variado
2020-06-29,Medellin,Lucía,Castells,Femenino,Mecatera
2020-06-29,San Antonio de Prado,Georgina,Mir,Femenino,Virtuosa
2020-06-29,Sabaneta,Bibiana,Palomo,Femenino,Cerv box
2020-06-29,Medellin,Ana Belén,Rivero,Femenino,Waffle
2020-06-29,Itagui,Irma,Téllez,Femenino,Virtuosa
2020-06-29,Medellin,Alondra,Valencia,Femenino,Virtuosa
2020-06-29,La Estrella,Fulgencio,Prado,Masculino,Liviano
2020-06-29,Itagui,Dalila,Jara,Femenino,Bizcopizza
2020-06-29,Copacabana,Pili,Carrasco,Femenino,Sánduche
2020-06-29,Medellin,Augusto,Cabrera,Masculino,Virtuosa
2020-06-29,Itagui,Lupe,Montoya,Masculino,Completo
2020-06-29,Bello,Macarena,Osorio,Femenino,Liviano
2020-06-29,San Antonio de Prado,Virginia,Sánchez,Femenino,Cupcakes
2020-06-29,Copacabana,Nilo,Pintor,Masculino,Sánduche
2020-06-29,Medellin,Marcelo,Osuna,Masculino,Choco box
2020-06-29,La Estrella,Primitiva,Aranda,Femenino,Variado
2020-06-29,Medellin,Manuelita,Roldan,Femenino,Virtuosa
